########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱..........,================,........,================,..........▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥..........,================,........,================,..........▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥
▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥..........,==ራ===ሬ===ር===ሮ=,........,==ሯ===ሰ===ሱ===ሲ=,..........▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥..........,================,........,================,..........▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥
▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥..........,================,........,================,..........▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▥..........,================,........,================,..........▥▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▥
VVV...............................,================,........,================,...............................VVV
VVV...............................,================,........,================,...............................VVV
VVV...............................,================,....ል...,================,....ል..........................VVV
VVV.........ሗ.....................,================,........,================,.......................ሕ.......VVV
VVV...............................,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,........,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,...............................⮞⮞⮞
VVV...............................,================,........,================,...............................⮞⮞⮞
VVV.....ል.........................,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,........,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,..........................ሩ..ረ.⮞⮞ሪ
VVV...............................,================,........,================,...............................⮞⮞⮞
VVV..............ሕ................,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,........,▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦,...............................⮞⮞⮞
VVV..........................ል....,================,....ሖ...,================,.....................ል.........VVV
VVV...............................,================,........,================,...............................VVV
VVV...............................,================,........,================,...............................VVV
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
########################..........,================,........,================,..........########################
▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱..........,================,........,================,..........▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱▱
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥..........,================,........,================,..........▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥
▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥..........,================,........,================,..........▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥..........,================,........,================,..........▥▤ww▤ww▤ww▤ww▤ww▤ww▤ww▤▥
▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥..........,================,........,================,..........▥ww▤ww▤ww▤ww▤ww▤ww▤ww▤w▥
▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥..........,================,........,================,..........▥w▤ww▤ww▤ww▤ww▤ww▤ww▤ww▥
▥▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▥..........,================,........,================,..........▥▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▤▥
